"id","e1a","e1c","e1f","e1g","f5a","f5b","f5c","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","h1a","h1b","h1c","near_03f","cityRate","numBehaviors"
594,2,3,4,2,3.78148251821805,2.70227639495396,3.05551962992389,4,4,4,4,3,3,4,1,1,1,1,1,1,1,1,1,1,22.4586134114,2.60625,4
597,2,4,4,3,4.01511700915512,2.57938554620317,3.46429685345228,4,4,4,4,4,2,4,1,1,1,1,1,0,1,0,0,1,456.462014788,2.60625,3
598,5,1,5,1,5,2,4,4,4,5,4,4,4,5,1,0,1,0,0,0,1,0,0,0,820.621962269,2.60625,1
600,2,4,3,3,5,2,4,5,5,5,5,5,3,3,1,0,1,1,0,0,0,0,0,1,522.966336846,2.60625,1
603,2,4,4,2,3,2,2,2,4,4,4,3,2,3,1,1,1,1,0,0,0,0,1,0,0,2.60625,1
604,5,1,5,1,5,5,4,4,4,5,4,3,2,2,1,1,1,1,0,0,1,0,1,1,269.532237466,2.60625,2
611,2,3,4,2,4,3,3,4,4,4,3,3,3,4,1,1,1,0,0,0,1,0,0,1,1034.61268532,2.60625,1
619,2,5,5,1,5,2,5,5,5,5,5,5,3,3,1,1,1,1,1,1,1,0,0,1,906.859579325,2.60625,4
621,1,4,4,2,4,3,2,4,4,4,3,3,3,3,1,1,1,1,1,1,1,0,1,1,49.0061540797,2.60625,4
624,2,4,4,2,4,3,3,4,4,4,4,4,3,4,1,1,1,0,0,1,0,0,0,0,434.999202114,2.60625,1
625,1,4,4,1,5,4,5,4,3,4,4,4,4,4,1,1,1,1,0,1,1,0,1,0,945.636863056,2.60625,3
635,3,4,5,1,4,4,4,4,4,5,4,4,5,4,1,0,1,1,1,0,1,0,0,1,1770.0202059,2.60625,3
637,2,4,4,2,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,2019.43424862,2.60625,4
646,2,5,5,2,3,2,4,5,4,5,5,4,4,5,1,1,1,1,1,1,1,0,0,0,802.999002901,2.60625,4
649,4,3,4,2,4,3,3,4,4,4,4,4,4,4,1,1,0,0,1,0,0,0,1,0,1288.97400944,2.60625,1
659,4.30879337290575,1,3,3,3,3,3,4,4,4,4,3,4,3,1,1,1,1,1,0,0,0,0,1,26.0402856354,2.34883720930233,2
663,5,2,4,4,5,2,4,4,4,4,4,3,3,4,1,1,0,0,0,0,0,0,1,1,0,2.34883720930233,0
672,5,4,4,2,2,1,1,5,5,5,5,3,5,5,1,0,1,1,1,1,1,0,0,1,199.086548743,2.34883720930233,4
674,2,3,4,2,3,1,3,4,4,4,4,3.30606645902265,3,4,1,1,1,0,0,0,1,0,0,0,14.3584572795,2.34883720930233,1
676,5,1,1,5,5,5,3,5,5,4,4,4,5,5,1,1,1,1,1,0,1,0,1,1,0,2.60625,3
681,2,4,4,2,3.56363400432159,2.72791287173878,3.15859595357013,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,176.875042199,2.60625,4
682,2,4,4,3,4,3,4,4,4,5,4,3,3,2,1,1,0,1,1,0,0,0,0,1,451.198384273,2.60625,2
689,5,3,1,5,5,5,3,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,1,1,17.5090943767,2.60625,2
690,1,5,5,1,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,1,1,176.126700052,2.60625,4
693,2,4,4,2,4,2,3,4,4,4,4,4,3,4,1,0,1,0,0,0,0,0,0,0,793.535372391,2.60625,0
696,2,4,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,690.111018764,2.60625,4
698,2,4,4,2,4,2,3,5,4,4,3,3,4,4,1,0,1,1,1,1,1,0,1,1,97.3412616391,2.60625,4
699,1,4,4,2,4,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,1,116.452144549,2.60625,4
705,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,0,0,1,0,0,0,0,0,1,1657.90685534,2.60625,1
706,3,3,3,4,3,2,3,4,4,4,3,4,4,4,1,1,1,0,1,1,1,0,0,0,1785.21493902,2.60625,3
711,4,3,5,3,5,4,5,3,4,5,4,3,2,2,1,0,1,1,0,0,0,0,0,0,1288.97400944,2.60625,1
712,2,4,4,2,4,2,4,5,5,4,5,5,5,5,1,1,1,1,1,1,1,0,0,1,105.739359993,2.34883720930233,4
713,1,5,5,1,3,3,2,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,1,413.899018602,2.34883720930233,4
714,3.00503060307331,3.54961188719019,4.35158971777932,2.10911866275001,4,4,4,4.43082636101372,4.10472205635065,4.09616796403344,4.14989364354529,3.93257291703918,3.10460275473273,3.35044601498166,1,1,1,1,0,0,0,0,0,1,100.849249408,2.34883720930233,1
718,4,2,4,2,1,2,5,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,0,2.34883720930233,0
719,3,2,4,2,4,3,3,2,4,4,4,3,4,4,1,1,1,1,1,1,1,0,0,1,101.006123092,2.34883720930233,4
729,2,3,4,2,3,3,3,5,4,5,5,3,4,4,1,1,0,1,1,1,1,0,0,1,3999.94255627,2.60625,4
732,3,4,4,3,5,5,4,5,4,4,3,4,3,4,1,1,0,0,1,0,1,0,1,1,3491.15836669,2.60625,2
734,4,2,4,2,4,4,2,4,4,5,4,4,4,4,1,1,1,1,1,0,0,0,0,1,1726.73184414,2.60625,2
736,4,3,5,1,4,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,1394.28716568,2.60625,4
740,1,4,4,1,5,5,5,5,4,4,5,5,5,5,1,1,1,1,1,1,1,0,0,0,7330.4756261,2.60625,4
743,1,5,4,2,5,4,4,4,5,4,4,4,4,4,1,1,1,1,1,0,1,0,0,1,4159.26611639,2.60625,3
745,2,4,4,2,4,3,3,4,4,4,4,4,3,4,1,1,1,1,1,0,1,0,0,1,1669.94570243,2.60625,3
750,1,4,5,1,5,4,4,4,4,4,4,4,4,4,1,1,1,0,1,1,1,0,0,1,3686.51845749,2.60625,3
752,1,2,3,5,4,5,5,4,5,4,3,3,4,4,1,0,1,1,1,1,1,0,1,0,7530.74687352,2.60625,4
753,3,4,3,3,4.17912853868524,3.98975263197316,3.9843647689541,4,4,3,3,3,3,4,1,1,1,1,1,1,1,0,1,1,6951.280766,2.60625,4
