"id","c1a","c1b","c1c","c1d","c1e","c1f","c1g","c1h","c1i","c1j","c1k","c1l","c1m","c1n","c1o","c1p","c1q","c1r","d1a","d1b","d1c","d1d","d1e","d1f","d1g","e1a","e1b","e1c","e1d","e1e","e1f","e1g","e1h","e1i","e1j","f1a","f1b","f1c","f1d","f1e","f1f","f1g","f2a1","f2b1","f2c1","f2d1","f2e1","f2f1","f2g1","f5a","f5b","f5c","f5d","h1a","h1b","h1c","h1d","h1e","h1f","h1g","h1h","h1i","h1j","h1k","h1l","h1m","h1n","h1o","h1p","education","near_03f","city","numBehaviors","cityRate"
202,4,4,5,4,1,1,2,2,1,4,5,4,2,2,2,4,2,4,5,4,2,4,2,2.14974548328218,5,2,2,4,5,5,5,2,5,3,4,4,4,5,5,4,4,4,0,1,1,0,0,0,0,3,2,4,3,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,6,198.339706796,"Alpine",0,2.60625
203,4,4,4,4,2,2,4,4,2,2,2,2,3,3,3,3,3,4,2,4,4,3,3,2,3,2,3,4,2,3,4,2,4,3,3,5,4,5,4,4,4,5,1,1,1,1,1,1,1,2,1,4,3,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,2,122.541526758,"Alpine",4,2.60625
204,4,4,5,4,3,1,1,3,2,3,2,1,5,5,3,3,3,4,3,4,3,3,2,2,3,2,3,3,3,4,4,1,5,5,4,5,5,5,5,5,5,5,1,1,0,1,1,1,1,5,4,4,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,131.343642332,"Alpine",4,2.60625
205,4,3,2,2,3,4,3,3,2,2,5,4,3,4,3,2,4,5,4,4,3,4,2,2,4,1,4,5,1,3,4,2,4,4,3,5,5,5,5,4,4,5,1,1,1,1,1,1,1,3,1,4,4,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,6,21.7819807457,"Alpine",4,2.60625
206,5,5,5,5,1,1,1,2,1,4,4,2,2,4,2,4,2,4,4,5,2,1,1,1,5,4,4,2,2,2,5,1,5,4,4,4,4,4,4,4,4,4,1,1,0,1,1,0,0,5,5,5,2,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,4,280.152797428,"Alpine",2,2.60625
208,4,4,4,4,3,2,5,3,2,4,4,2,2,2,2,4,2,2,4,4,4,4,3,2,2,2,5,3,1,4,5,4,5,3,5,5,5,5,5,5,3,3,1,1,1,1,0,0,0,4,4,1,4,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,3,0,"Alpine",1,2.60625
211,4,4,5,4,1,4,4,2,1,4,5,5,4,2,1,5,1,2,5,5,2,3,2,2,4,2,1,4,1,5,3,5,5,5,4,4,4,5,5,4,4,5,0,1,1,1,0,0,0,3,2,2,3,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,5,162.646779501,"Alpine",1,2.60625
214,5,5,5,5,1,1,2,1,1,5,5,3,1,3,1,4,2,5,5,5,2,5,2,2,4,2,2,4,3,4,3,2,4,4,3,5,4,5,3,4,4,4,1,1,1,0,0,0,1,2,1,2,4,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,3,338.778517029,"Alpine",1,2.60625
215,4,4,4,4,2,2,3,2,2,4,5,3,2,4,4,3,3,5,4,4,3,2,3,2,2,1,3,4,3,4,5,1,5,2,4,5,4,5,3,3,4,4,1,1,1,1,1,1,1,3,2,2,5,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,2,0,"Alpine",4,2.60625
222,5,5,5,5,1,1,2.05937212338809,2,1,4,5,3,3,2,2,3,2,4,2,5,4,3,4,2,3,2,5,3,1,2,5,1,5,4,3,4,5,5,5,3,3,4,1,1,0,1,0,1,1,5,3,4,3,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,4,1014.65596942,"Alpine",3,2.60625
225,4,4,4,3,4,3,3,2,2,2,3,3,3,3,1,4,2,3,4,3,3,2,2,3,3,3,3,3,3,4,4,2,4,3,4,4,4,4,3,3,1,1,1,1,0,0,0,0,0,4,2,2,2,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,2,657.269257604,"Alpine",0,2.60625
226,5,5,5,5,1,1,1,1,1,3,4,2,2,2,2,4,2,2,4,4,2,4,2,2,4,2,4,4,2,2,4,2,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,0,1,3,2,3,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,3,832.053710195,"Alpine",3,2.60625
228,5,5,5,5,1,1,1,1,1,5,5,1,5,5,1,5,1,1,5,5,1,5,1,1,5,1,1,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,5,807.188757918,"Alpine",4,2.60625
231,5,5,5,5,1,1,2,2,2,4,5,3,3,3,1,5,1,4,5,5,2,4,1,1,4,2,2,4,1,4,5,2,4,3,3,4,4,5,5,4,5,5,1,1,1,1,1,0,1,5,4,5,3,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,4,170.031059167,"Alpine",3,2.60625
241,5,5,5,5,1,3,1,1,1,4,4,2,3,3,3,4,2,4,4,4,3,4,2,2,4,4,4,3,3,3,5,1,5,3,5,5,5,5,5,5,3,5,1,1,1,1,0,0,0,4,3,3,4,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,6,834.496466636,"Alpine",1,2.60625
242,5,5,5,5,1,3,4,1,1,4,4,1,4,3,2,5,2,2,1,5,5,2,5,2,1,1,1,5,1,5,5,1,5,4,5,5,4,5,5,5,3,3,1,1,1,1,1,0,0,4,3,4,2,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,6,1003.38195632,"Alpine",2,2.60625
243,4,4,4,4,2,2,2,2,2,4,4,2,2,2,2,4,2,4,3,3,3,4,3,3,3,2,2,4,2,4,4,2,4,3,3,4,4,4,4,4,3,4,1,1,1,1,1,0,0,4,3,4,4,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,5,2085.78966905,"Alpine",2,2.60625
245,2,2,4,2,4,3,4,2,2,4,5,3,3,4,2,4,2,4,4,4,3,3,2,2,4,2,2,5,2,5,5,1,5,2,5,4,4,5,4,4,4,4,1,1,1,0,1,1,1,3,3,2,3,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,6,2451.69820639,"Alpine",3,2.60625
247,2,2,4,1,1,1.76060163725501,2,1,1,2,2,1,3,3,2,4,2,1,3,4,3,2,3,2,3,5,1,1,2,4,4,2,3,2,4,4,4,4,3,2,2,3,1,1,1,1,1,1,1,3.41311874979332,2.50149215971912,2.72475463654189,1.56949772467931,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,4,2415.25347791,"Alpine",4,2.60625
249,5,5,5,4.83502350543984,1,1,5,1,1,3,3,2,4,4,4,2,4,2,4,4,3,4,2,2,4,5,2,1,2.54860871492613,5,4,4,4,3,4,4,4,4,4,4,3,3,1,1,1,1,0,0,0,3,3,2,2,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,2009.08614979,"Alpine",1,2.60625
251,4,4,4,3,2,2,3,2,2,5,5,4,2,2,2,4,2,4,5,5,1,4,2,2,5,1,4,4,2,2,4,2,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,0,5,5,3,2,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,4,2427.35709886,"Alpine",3,2.60625
